Run  0:  {'AVG_LATENCY': 0.0046023272693097115, 'AVG_INTRA_LATENCY': 0.0003792839505243229, 'CPU': 0.5203737745098039, 'MEM': 0.5203737745098039, 'CLOUD_REQS': 0, 'COST': 2.7009852654923603, 'TIME': 2.31513022756488, 'START_TIME': 1.0, 'END_TIME': 3.31513022756488}
Run  83:  {'AVG_LATENCY': 0.004043421360595636, 'AVG_INTRA_LATENCY': 0.00039489906391825447, 'CPU': 0.5071486928104575, 'MEM': 0.5071486928104575, 'CLOUD_REQS': 0, 'COST': 2.7071843097730315, 'TIME': 2.32044369409117, 'START_TIME': 1.0, 'END_TIME': 3.32044369409117}
Run  84:  {'AVG_LATENCY': 0.003866571794974559, 'AVG_INTRA_LATENCY': 0.00030694701185628116, 'CPU': 0.4658394607843137, 'MEM': 0.4658394607843137, 'CLOUD_REQS': 0, 'COST': 2.692207925058772, 'TIME': 2.3076067929075186, 'START_TIME': 1.0, 'END_TIME': 3.3076067929075186}
Run  85:  {'AVG_LATENCY': 0.0035540679817663593, 'AVG_INTRA_LATENCY': 0.00042586203922272326, 'CPU': 0.5198631535947712, 'MEM': 0.5198631535947712, 'CLOUD_REQS': 0, 'COST': 2.7032288342795434, 'TIME': 2.317053286525323, 'START_TIME': 1.0, 'END_TIME': 3.317053286525323}
Run  86:  {'AVG_LATENCY': 0.0037216853515083604, 'AVG_INTRA_LATENCY': 0.00033922684373237084, 'CPU': 0.48973651960784315, 'MEM': 0.48973651960784315, 'CLOUD_REQS': 0, 'COST': 2.7018736492424384, 'TIME': 2.3158916993506615, 'START_TIME': 1.0, 'END_TIME': 3.3158916993506615}
Run  87:  {'AVG_LATENCY': 0.0038526212140681635, 'AVG_INTRA_LATENCY': 0.0003916723770415169, 'CPU': 0.49724264705882354, 'MEM': 0.49724264705882354, 'CLOUD_REQS': 0, 'COST': 2.7060077168166514, 'TIME': 2.319435185842844, 'START_TIME': 1.0, 'END_TIME': 3.319435185842844}
Run  88:  {'AVG_LATENCY': 0.0033163139438696014, 'AVG_INTRA_LATENCY': 0.0003635160397356182, 'CPU': 0.532015931372549, 'MEM': 0.532015931372549, 'CLOUD_REQS': 0, 'COST': 2.6981015787070772, 'TIME': 2.3126584960346377, 'START_TIME': 1.0, 'END_TIME': 3.3126584960346377}
Run  89:  {'AVG_LATENCY': 0.003572469863816447, 'AVG_INTRA_LATENCY': 0.0003234797758413314, 'CPU': 0.45654616013071897, 'MEM': 0.45654616013071897, 'CLOUD_REQS': 0, 'COST': 2.702362848880601, 'TIME': 2.3163110133262292, 'START_TIME': 1.0, 'END_TIME': 3.3163110133262292}
Run  90:  {'AVG_LATENCY': 0.0035736984295965447, 'AVG_INTRA_LATENCY': 0.0003642408182366581, 'CPU': 0.4774305555555555, 'MEM': 0.4774305555555555, 'CLOUD_REQS': 0, 'COST': 2.703533260523121, 'TIME': 2.3173142233055324, 'START_TIME': 1.0, 'END_TIME': 3.3173142233055324}
Run  91:  {'AVG_LATENCY': 0.004073693036798863, 'AVG_INTRA_LATENCY': 0.0004020335257501494, 'CPU': 0.5138888888888888, 'MEM': 0.5138888888888888, 'CLOUD_REQS': 0, 'COST': 2.6922346103127692, 'TIME': 2.3076296659823736, 'START_TIME': 1.0, 'END_TIME': 3.3076296659823736}
Run  92:  {'AVG_LATENCY': 0.0038325974872213666, 'AVG_INTRA_LATENCY': 0.00034130150726861044, 'CPU': 0.5144505718954248, 'MEM': 0.5144505718954248, 'CLOUD_REQS': 0, 'COST': 2.703549454651791, 'TIME': 2.3173281039872493, 'START_TIME': 1.0, 'END_TIME': 3.3173281039872493}
Run  93:  {'AVG_LATENCY': 0.003134006729276527, 'AVG_INTRA_LATENCY': 0.0003535236170840839, 'CPU': 0.45184844771241833, 'MEM': 0.45184844771241833, 'CLOUD_REQS': 0, 'COST': 2.706042863850466, 'TIME': 2.319465311871828, 'START_TIME': 1.0, 'END_TIME': 3.319465311871828}
Run  94:  {'AVG_LATENCY': 0.003861052244214064, 'AVG_INTRA_LATENCY': 0.0004418493612910885, 'CPU': 0.5318116830065358, 'MEM': 0.5318116830065358, 'CLOUD_REQS': 0, 'COST': 2.708058588765978, 'TIME': 2.321193076085124, 'START_TIME': 1.0, 'END_TIME': 3.321193076085124}
Run  95:  {'AVG_LATENCY': 0.004016857309563997, 'AVG_INTRA_LATENCY': 0.00032967980311139833, 'CPU': 0.4621629901960783, 'MEM': 0.4621629901960783, 'CLOUD_REQS': 0, 'COST': 2.6912166524045342, 'TIME': 2.306757130632458, 'START_TIME': 1.0, 'END_TIME': 3.306757130632458}
Run  96:  {'AVG_LATENCY': 0.003501018633511957, 'AVG_INTRA_LATENCY': 0.0004109317888621093, 'CPU': 0.5334456699346406, 'MEM': 0.5334456699346406, 'CLOUD_REQS': 0, 'COST': 2.701905591295895, 'TIME': 2.315919078253624, 'START_TIME': 1.0, 'END_TIME': 3.315919078253624}
Run  97:  {'AVG_LATENCY': 0.003442633868929134, 'AVG_INTRA_LATENCY': 0.00037265411678451976, 'CPU': 0.5315563725490197, 'MEM': 0.5315563725490197, 'CLOUD_REQS': 0, 'COST': 2.690693250765217, 'TIME': 2.3063085006559003, 'START_TIME': 1.0, 'END_TIME': 3.3063085006559003}
Run  98:  {'AVG_LATENCY': 0.00348381151244704, 'AVG_INTRA_LATENCY': 0.0003947411410709491, 'CPU': 0.5307393790849674, 'MEM': 0.5307393790849674, 'CLOUD_REQS': 0, 'COST': 2.6922276814122457, 'TIME': 2.3076237269247817, 'START_TIME': 1.0, 'END_TIME': 3.3076237269247817}
Run  99:  {'AVG_LATENCY': 0.003542534161306862, 'AVG_INTRA_LATENCY': 0.0003810967784495365, 'CPU': 0.49744689542483655, 'MEM': 0.49744689542483655, 'CLOUD_REQS': 0, 'COST': 2.702415034184786, 'TIME': 2.3163557435869593, 'START_TIME': 1.0, 'END_TIME': 3.3163557435869593}
